battery_id,brand,type,capacity_ah,voltage,derating_factor,price_NGN
Pylontech_12V_250Ah_0,Pylontech,Tubular,250.0,12.0,0.84,794407
Felicity_48V_40Ah_1,Felicity,LiFePO4,40.0,48.0,0.85,51092
BYD_24V_120Ah_2,BYD,Gel,120.0,24.0,0.84,857279
Blue Carbon_48V_110Ah_3,Blue Carbon,LiFePO4,110.0,48.0,0.85,128285
Growatt_24V_230Ah_4,Growatt,AGM,230.0,24.0,0.84,169852
BYD_48V_130Ah_5,BYD,Gel,130.0,48.0,0.85,469541
Multipower_12V_80Ah_6,Multipower,Gel,80.0,12.0,0.84,52727
Amaron Quanta_12V_60Ah_7,Amaron Quanta,Tubular,60.0,12.0,0.84,777476
Blue Carbon_48V_270Ah_8,Blue Carbon,Tubular,270.0,48.0,0.85,55193
Growatt_12V_210Ah_9,Growatt,LiFePO4,210.0,12.0,0.82,313147
CWorth_12V_120Ah_10,CWorth,Tubular,120.0,12.0,0.84,100578
BYD_48V_220Ah_11,BYD,Gel,220.0,48.0,0.83,558763
Multipower_24V_30Ah_12,Multipower,Gel,30.0,24.0,0.84,61643
Growatt_12V_80Ah_13,Growatt,Tubular,80.0,12.0,0.82,374878
Felicity_12V_180Ah_14,Felicity,Gel,180.0,12.0,0.83,55622
Blue Carbon_48V_20Ah_15,Blue Carbon,AGM,20.0,48.0,0.83,116652
Felicity_12V_70Ah_16,Felicity,Gel,70.0,12.0,0.84,133586
BYD_12V_200Ah_17,BYD,AGM,200.0,12.0,0.85,469856
BSL_12V_230Ah_18,BSL,Tubular,230.0,12.0,0.83,369489
Exulted_48V_150Ah_19,Exulted,LiFePO4,150.0,48.0,0.82,724256
BSL_24V_130Ah_20,BSL,Tubular,130.0,24.0,0.82,165288
Multipower_12V_60Ah_21,Multipower,LiFePO4,60.0,12.0,0.83,137011
CWorth_48V_100Ah_22,CWorth,LiFePO4,100.0,48.0,0.84,131631
Felicity_24V_120Ah_23,Felicity,LiFePO4,120.0,24.0,0.83,55641
Pylontech_24V_200Ah_24,Pylontech,Tubular,200.0,24.0,0.84,470885
