controller_id,brand,type,max_voltage_V,max_current_A,derating_factor,price_NGN
SRNE_MPPT_36V_95A_0,SRNE,MPPT,36.0,95.0,0.93,50620
Must_MPPT_12V_100A_1,Must,MPPT,12.0,100.0,0.92,45321
Felicity_PWM_24V_100A_2,Felicity,PWM,24.0,100.0,0.92,56661
Livoltek_PWM_12V_50A_3,Livoltek,PWM,12.0,50.0,0.91,185801
Xtra Power_MPPT_150V_55A_4,Xtra Power,MPPT,150.0,55.0,0.92,143634
Xtra Power_MPPT_60V_65A_5,Xtra Power,MPPT,60.0,65.0,0.93,137944
Morningstar_PWM_24V_20A_6,Morningstar,PWM,24.0,20.0,0.91,195662
Schneider Electric_MPPT_36V_35A_7,Schneider Electric,MPPT,36.0,35.0,0.92,151986
Must_MPPT_60V_10A_8,Must,MPPT,60.0,10.0,0.93,26157
Xtra Power_PWM_24V_65A_9,Xtra Power,PWM,24.0,65.0,0.92,134142
Growatt_MPPT_36V_85A_10,Growatt,MPPT,36.0,85.0,0.92,79854
Felicity_PWM_36V_55A_11,Felicity,PWM,36.0,55.0,0.94,76715
Morningstar_PWM_48V_100A_12,Morningstar,PWM,48.0,100.0,0.91,192213
Felicity_PWM_48V_60A_13,Felicity,PWM,48.0,60.0,0.91,32385
Felicity_PWM_36V_35A_14,Felicity,PWM,36.0,35.0,0.92,63309
Livoltek_MPPT_150V_35A_15,Livoltek,MPPT,150.0,35.0,0.91,196166
Livoltek_PWM_24V_85A_16,Livoltek,PWM,24.0,85.0,0.92,209328
SRNE_MPPT_12V_75A_17,SRNE,MPPT,12.0,75.0,0.94,76479
SRNE_MPPT_24V_30A_18,SRNE,MPPT,24.0,30.0,0.94,52973
SRNE_MPPT_150V_20A_19,SRNE,MPPT,150.0,20.0,0.94,38083
Morningstar_PWM_24V_65A_20,Morningstar,PWM,24.0,65.0,0.92,226358
Felicity_PWM_60V_35A_21,Felicity,PWM,60.0,35.0,0.91,77221
Anern_MPPT_36V_65A_22,Anern,MPPT,36.0,65.0,0.95,103474
