inverter_id,brand,rated_power_w,voltage_input,voltage_output,mode,derating_factor,price_NGN
Kartel Solar_5100W_0,Kartel Solar,5100.0,24.0,220.0,Multifunction,0.89,287872
Kartel Solar_15500W_1,Kartel Solar,15500.0,12.0,220.0,Battery-Based,0.9,518643
Growatt_19250W_2,Growatt,19250.0,24.0,220.0,Battery-Based,0.88,1437330
PRAG_2400W_3,PRAG,2400.0,12.0,220.0,Battery-Based,0.92,99066
PRAG_19150W_4,PRAG,19150.0,96.0,220.0,Battery-Based,0.89,1091136
Victron Energy_19100W_5,Victron Energy,19100.0,12.0,220.0,Multifunction,0.88,2115295
Sungrow_5550W_6,Sungrow,5550.0,240.0,220.0,Multifunction,0.91,358086
Felicity Solar_13900W_7,Felicity Solar,13900.0,12.0,220.0,Hybrid,0.88,757502
Kartel Solar_10650W_8,Kartel Solar,10650.0,12.0,220.0,Battery-Based,0.88,421653
Techfine_7300W_9,Techfine,7300.0,48.0,220.0,Off-Grid,0.88,679303
Techfine_1200W_10,Techfine,1200.0,12.0,220.0,Multifunction,0.88,106343
Blue Gate_18200W_11,Blue Gate,18200.0,48.0,220.0,Multifunction,0.92,1008638
PRAG_4900W_12,PRAG,4900.0,24.0,220.0,Hybrid,0.91,191215
Growatt_15650W_13,Growatt,15650.0,240.0,220.0,Grid-Tie,0.89,1444664
Huawei_1750W_14,Huawei,1750.0,240.0,220.0,Multifunction,0.91,222190
PRAG_4250W_15,PRAG,4250.0,12.0,220.0,Hybrid,0.89,249641
Sungrow_1900W_16,Sungrow,1900.0,96.0,220.0,Grid-Tie,0.9,142200
Kartel Solar_14600W_17,Kartel Solar,14600.0,96.0,220.0,Multifunction,0.9,783013
Techfine_6800W_18,Techfine,6800.0,96.0,220.0,Grid-Tie,0.89,611144
Sungrow_3900W_19,Sungrow,3900.0,12.0,220.0,Off-Grid,0.92,268331
Victron Energy_12000W_20,Victron Energy,12000.0,96.0,220.0,Grid-Tie,0.88,1646037
Kartel Solar_15950W_21,Kartel Solar,15950.0,12.0,220.0,Grid-Tie,0.87,743145
Techfine_950W_22,Techfine,950.0,24.0,220.0,Hybrid,0.88,74326
SMA_16500W_23,SMA,16500.0,48.0,220.0,Off-Grid,0.91,2085411
Kartel Solar_3300W_24,Kartel Solar,3300.0,48.0,220.0,Hybrid,0.88,143479
Growatt_2900W_25,Growatt,2900.0,48.0,220.0,Multifunction,0.91,254075
Protonix Fortuner_15100W_26,Protonix Fortuner,15100.0,24.0,220.0,Grid-Tie,0.88,961299
Sungrow_5400W_27,Sungrow,5400.0,96.0,220.0,Battery-Based,0.92,400722
Techfine_14250W_28,Techfine,14250.0,12.0,220.0,Hybrid,0.9,1360417
Growatt_7200W_29,Growatt,7200.0,48.0,220.0,Off-Grid,0.92,658663
Growatt_19600W_30,Growatt,19600.0,24.0,220.0,Off-Grid,0.87,1542231
Protonix Fortuner_16350W_31,Protonix Fortuner,16350.0,48.0,220.0,Hybrid,0.87,1076436
Techfine_10800W_32,Techfine,10800.0,240.0,220.0,Off-Grid,0.91,1073731
PRAG_12650W_33,PRAG,12650.0,48.0,220.0,Multifunction,0.89,629436
SMA_5150W_34,SMA,5150.0,12.0,220.0,Off-Grid,0.91,570429
Techfine_14600W_35,Techfine,14600.0,96.0,220.0,Multifunction,0.87,1170867
Growatt_2100W_36,Growatt,2100.0,240.0,220.0,Battery-Based,0.92,161998
Blue Gate_13800W_37,Blue Gate,13800.0,48.0,220.0,Grid-Tie,0.91,694719
PRAG_12400W_38,PRAG,12400.0,24.0,220.0,Multifunction,0.88,603300
SMA_19900W_39,SMA,19900.0,48.0,220.0,Multifunction,0.92,2849576
Sungrow_1900W_40,Sungrow,1900.0,96.0,220.0,Off-Grid,0.9,163995
Growatt_3700W_41,Growatt,3700.0,12.0,220.0,Off-Grid,0.91,332378
Growatt_14500W_42,Growatt,14500.0,240.0,220.0,Off-Grid,0.9,1152962
Growatt_14700W_43,Growatt,14700.0,240.0,220.0,Multifunction,0.92,1448491
Victron Energy_15900W_44,Victron Energy,15900.0,48.0,220.0,Battery-Based,0.88,1754524
Felicity Solar_13650W_45,Felicity Solar,13650.0,240.0,220.0,Battery-Based,0.89,557347
Protonix Fortuner_11200W_46,Protonix Fortuner,11200.0,12.0,220.0,Off-Grid,0.9,998375
Blue Gate_18750W_47,Blue Gate,18750.0,24.0,220.0,Multifunction,0.87,628123
Blue Gate_2950W_48,Blue Gate,2950.0,240.0,220.0,Hybrid,0.88,157507
Techfine_14850W_49,Techfine,14850.0,240.0,220.0,Battery-Based,0.9,967461
Huawei_17600W_50,Huawei,17600.0,240.0,220.0,Hybrid,0.91,2587938
Huawei_12600W_51,Huawei,12600.0,12.0,220.0,Battery-Based,0.9,1535991
Sungrow_18450W_52,Sungrow,18450.0,24.0,220.0,Hybrid,0.91,1575334
SMA_9850W_53,SMA,9850.0,24.0,220.0,Off-Grid,0.92,1199963
Growatt_16600W_54,Growatt,16600.0,24.0,220.0,Off-Grid,0.92,1480644
Blue Gate_13550W_55,Blue Gate,13550.0,48.0,220.0,Grid-Tie,0.88,734508
Protonix Fortuner_18300W_56,Protonix Fortuner,18300.0,12.0,220.0,Battery-Based,0.88,1170152
Felicity Solar_6600W_57,Felicity Solar,6600.0,240.0,220.0,Hybrid,0.92,237439
Felicity Solar_13300W_58,Felicity Solar,13300.0,240.0,220.0,Off-Grid,0.87,567183
Growatt_6950W_59,Growatt,6950.0,240.0,220.0,Grid-Tie,0.91,463726
Blue Gate_16050W_60,Blue Gate,16050.0,96.0,220.0,Battery-Based,0.9,837419
Blue Gate_4450W_61,Blue Gate,4450.0,24.0,220.0,Hybrid,0.88,219123
Felicity Solar_8000W_62,Felicity Solar,8000.0,48.0,220.0,Grid-Tie,0.87,326173
Techfine_8250W_63,Techfine,8250.0,48.0,220.0,Hybrid,0.89,719588
Blue Gate_2550W_64,Blue Gate,2550.0,24.0,220.0,Grid-Tie,0.87,101732
Techfine_1150W_65,Techfine,1150.0,240.0,220.0,Multifunction,0.91,78145
Growatt_14700W_66,Growatt,14700.0,240.0,220.0,Off-Grid,0.89,1014867
Kartel Solar_9500W_67,Kartel Solar,9500.0,48.0,220.0,Off-Grid,0.9,494837
Sungrow_8150W_68,Sungrow,8150.0,24.0,220.0,Off-Grid,0.88,514484
Growatt_18500W_69,Growatt,18500.0,240.0,220.0,Off-Grid,0.9,1691365
Protonix Fortuner_750W_70,Protonix Fortuner,750.0,12.0,220.0,Battery-Based,0.87,57714
Blue Gate_13900W_71,Blue Gate,13900.0,12.0,220.0,Grid-Tie,0.91,717016
Kartel Solar_8500W_72,Kartel Solar,8500.0,24.0,220.0,Multifunction,0.89,441282
Protonix Fortuner_1450W_73,Protonix Fortuner,1450.0,96.0,220.0,Battery-Based,0.9,101164
Kartel Solar_12500W_74,Kartel Solar,12500.0,48.0,220.0,Grid-Tie,0.9,628200
Victron Energy_3200W_75,Victron Energy,3200.0,24.0,220.0,Grid-Tie,0.88,394215
Growatt_8600W_76,Growatt,8600.0,12.0,220.0,Grid-Tie,0.9,749300
Kartel Solar_5000W_77,Kartel Solar,5000.0,240.0,220.0,Multifunction,0.9,187807
Fronius_13250W_78,Fronius,13250.0,24.0,220.0,Multifunction,0.87,1689173
Growatt_2150W_79,Growatt,2150.0,24.0,220.0,Hybrid,0.9,208964
Fronius_12250W_80,Fronius,12250.0,96.0,220.0,Grid-Tie,0.91,1824873
Felicity Solar_9150W_81,Felicity Solar,9150.0,96.0,220.0,Off-Grid,0.91,413109
SMA_15350W_82,SMA,15350.0,96.0,220.0,Hybrid,0.88,2169389
Kartel Solar_13800W_83,Kartel Solar,13800.0,12.0,220.0,Battery-Based,0.89,605126
PRAG_15550W_84,PRAG,15550.0,48.0,220.0,Off-Grid,0.92,813629
Blue Gate_1900W_85,Blue Gate,1900.0,240.0,220.0,Battery-Based,0.87,80267
