panel_id,brand,panel_type,rated_power_w,voltage,derating_factor,cabling_loss,safety_factor,length_m,width_m,area_m2,price_NGN
Trina Solar_380W_Monocrystalline_0,Trina Solar,Monocrystalline,380.0,12.0,0.79,0.05,0.1,1.87,1.0,1.87,100586
Trina Solar_50W_Half-Cut_1,Trina Solar,Half-Cut,50.0,36.0,0.82,0.06,0.1,1.1,0.62,0.68,12675
Vsun Solar_260W_Polycrystalline_2,Vsun Solar,Polycrystalline,260.0,24.0,0.82,0.05,0.11,1.69,0.98,1.66,67571
Auxano Solar_450W_Polycrystalline_3,Auxano Solar,Polycrystalline,450.0,48.0,0.8,0.05,0.11,1.72,1.0,1.72,137449
Mercury_310W_Bifacial_4,Mercury,Bifacial,310.0,24.0,0.79,0.04,0.11,1.66,0.94,1.56,59858
Felicity_360W_Monocrystalline_5,Felicity,Monocrystalline,360.0,36.0,0.78,0.05,0.1,1.83,0.99,1.81,54842
Felicity_550W_Monocrystalline_6,Felicity,Monocrystalline,550.0,36.0,0.78,0.06,0.12,2.03,1.0,2.03,97964
Auxano Solar_390W_Polycrystalline_7,Auxano Solar,Polycrystalline,390.0,24.0,0.79,0.06,0.12,1.71,1.0,1.71,136013
Canadian Solar_570W_Polycrystalline_8,Canadian Solar,Polycrystalline,570.0,12.0,0.79,0.05,0.11,2.02,1.0,2.02,203725
JA Solar_450W_Monocrystalline_9,JA Solar,Monocrystalline,450.0,12.0,0.81,0.04,0.12,1.9,0.99,1.88,181882
Renogy_600W_Bifacial_10,Renogy,Bifacial,600.0,24.0,0.81,0.05,0.09,2.02,1.0,2.02,235380
Auxano Solar_80W_Half-Cut_11,Auxano Solar,Half-Cut,80.0,12.0,0.8,0.05,0.12,1.17,0.52,0.61,23655
Canadian Solar_440W_Bifacial_12,Canadian Solar,Bifacial,440.0,24.0,0.81,0.05,0.12,1.71,0.99,1.69,176634
Mercury_190W_Polycrystalline_13,Mercury,Polycrystalline,190.0,24.0,0.81,0.05,0.12,1.6,0.87,1.39,37775
Sukam_380W_Half-Cut_14,Sukam,Half-Cut,380.0,24.0,0.79,0.05,0.09,1.76,0.99,1.74,65183
Mercury_220W_Bifacial_15,Mercury,Bifacial,220.0,12.0,0.8,0.05,0.09,1.59,0.85,1.35,30235
Renogy_520W_Half-Cut_16,Renogy,Half-Cut,520.0,48.0,0.81,0.04,0.1,2.01,1.0,2.01,199548
Trina Solar_100W_Bifacial_17,Trina Solar,Bifacial,100.0,48.0,0.79,0.04,0.1,1.15,0.57,0.66,26800
Canadian Solar_260W_Polycrystalline_18,Canadian Solar,Polycrystalline,260.0,12.0,0.8,0.06,0.09,1.61,0.93,1.5,90737
JA Solar_400W_Half-Cut_19,JA Solar,Half-Cut,400.0,12.0,0.79,0.04,0.08,1.75,0.99,1.73,161741
Prag_290W_Monocrystalline_20,Prag,Monocrystalline,290.0,12.0,0.8,0.05,0.09,1.62,0.98,1.59,53620
Jinko Solar_570W_Half-Cut_21,Jinko Solar,Half-Cut,570.0,12.0,0.8,0.06,0.11,2.03,1.0,2.03,189245
Trina Solar_230W_Polycrystalline_22,Trina Solar,Polycrystalline,230.0,24.0,0.82,0.06,0.11,1.55,0.95,1.47,55227
Jinko Solar_60W_Half-Cut_23,Jinko Solar,Half-Cut,60.0,36.0,0.78,0.04,0.09,1.08,0.61,0.66,18866
Prag_90W_Bifacial_24,Prag,Bifacial,90.0,36.0,0.78,0.05,0.08,1.3,0.63,0.82,18482
Vsun Solar_560W_Monocrystalline_25,Vsun Solar,Monocrystalline,560.0,24.0,0.81,0.05,0.09,2.03,1.0,2.03,178501
Vsun Solar_80W_Half-Cut_26,Vsun Solar,Half-Cut,80.0,48.0,0.8,0.06,0.1,1.17,0.55,0.64,21331
Canadian Solar_320W_Half-Cut_27,Canadian Solar,Half-Cut,320.0,24.0,0.81,0.06,0.1,1.63,0.97,1.58,140038
